Product name,type of product,country of origin,description,state
Berhampur Patta (Phoda Kumbha) Saree & Joda,Non Food Products Animal-based fibres and textile / Silk sarees,India,"Traditional silk saree and joda produced under the supervision of the Directorate of Textiles and Handloom, Odisha.",Odisha
Bhagalpur Silk,Non Food Products Animal-based fibres and textile / Silk,India,"Bhagalpur Silk, also known as Tussar silk, is a natural silk produced in Bihar using wild silkworm cocoons. Renowned for its texture, durability, and natural golden sheen, it is widely used for sarees, shawls, and other garments, making Bhagalpur known as the “Silk City” of India.",Bihar
Bhavani Jamakkalam,Non Food Products Vegetal-based fibres and textile / Cotton carpet,India,"A traditional handwoven cotton carpet originating in Bhavani, developed since the 16th century. Known for its multicolored patterns, korvai weaving technique, and use of vegetable dyes, it is produced on pit looms by skilled artisans. The craft supports thousands of workers and is widely used for household, ceremonial, and export purposes.",
Bidriware,Non Food Products Metal / Craft,India,"A traditional metal craft from Bidar involving casting a zinc-copper alloy, engraving designs, and inlaying silver. The metal is treated with a special soil solution to create a distinctive black surface contrasting with silver inlay, followed by polishing to achieve a lustrous finish.",
Blue Pottery of Jaipur,Non Food Products Processed minerals / Pottery,India,"A traditional pottery of Jaipur made from a quartz-based ceramic body, known for its hand-painted designs, low shrinkage, and single firing process. It is durable, non-cracking, and suited to hot, dry climates, though production is labor-intensive.",
Bobbili Veena,Non Food Products Wooden products / Music instrument,India,"A traditional string instrument originating from the 16th-century Bobbili Samasthanam, known for its distinctive construction and sound quality. It is crafted through an elaborate manual process ensuring precise thickness and structure.",
Bomkai Saree & Fabrics,Non Food Products Vegetal-based fibres and textile / Sarees,India,"A traditional handloom textile of Odisha combining tie-dye (ikat) techniques with intricate motifs. Originating from weaving traditions dating back to ancient times and developed through Bhulia weavers, it features unique anchal designs, natural and later chemical dyes, and is produced through complex processes of tying, dyeing, and weaving.",Odisha
Budiiti Bell & Brass Craft,Non Food Products Metal / Craft,India,"A traditional brass craft from Budithi involving both casting and sheet-work techniques. The process includes ritual practices, sheet preparation, beating, casting, welding, and finishing, producing distinctive vessels known for their characteristic sound and structure.",
Budithi Bell & Brass Metal Craft,Non Food Products Metal / Bells and brass craft,India,"A brass and bell metal craft practiced for about 200 years in villages of Andhra Pradesh. It involves shaping and joining brass sheets, casting components, and finishing vessels like Bindelu, distinguished by unique construction and decorative rings made using specialized techniques.",Andhra Pradesh
Cannanore Home Furnishings,Non Food Products Vegetal-based fibres and textile / Cotton home furnishing,India,"A traditional handloom textile industry of Kannur with a history of over 400 years, producing cotton home furnishings such as bed linen, curtains, and upholstery. Known for high-quality dyeing, durable fabrics, and diverse weaving techniques, it uses processes like scouring, bleaching, dyeing, and weaving on pit looms.",
Chakhesang Shawls,Non Food Products Vegetal-based fibres and textile / Shalw,India,"Chakhesang Shawls are traditional handwoven textiles of the Chakhesang Naga tribe of Nagaland, characterized by bold geometric patterns and symbolic motifs. Woven using indigenous techniques and natural fibers, these shawls represent social identity, cultural heritage, and tribal status.",Nagaland
Chakshesang Shawl,Non Food Products Vegetal-based fibres and textile / Shawl,India,"Traditional shawls of the Chakhesang community in Nagaland, made from cotton and natural fibers like nettle and jute. The craft involves hand spinning, natural dyeing from local plants, and intricate weaving techniques reflecting cultural heritage and distinctive motifs.",Nagaland
Chamba Chappal,Non Food Products / Leather and leather based products / Shoe - handicraft,India,"Chamba Chappal is a traditional handcrafted footwear from Himachal Pradesh made using locally sourced leather and hand stitching techniques. Known for its durability and comfort, the footwear often features simple yet elegant designs reflecting the cultural heritage of the region.",Himachal Pradesh
Chamba Rumal,Non Food Products Vegetal-based fibres and textile / Embroidery,India,"A traditional embroidered textile from Chamba, Himachal Pradesh, inspired by Pahari miniature painting and developed under royal patronage. Made on hand-spun fabric using the unique double-sided ‘dorukha’ satin stitch, it features mythological and cultural motifs with detailed craftsmanship.",Himachal Pradesh
Champa Silk Saree And Fabrics,Non Food Products Vegetal-based fibres and textile / Silk sarees,India,"Traditional kosa silk textiles associated with tribal and handloom weavers, produced through generational practices, though facing challenges due to limited institutional support.",
Chanderi Sarees,Non Food Products Vegetal-based fibres and textile / Fabric,India,"A traditional handwoven fabric known for its sheer texture, transparency, and fine quality yarn. Distinguished by intricate handwoven butti motifs using gold, silver, or synthetic zari, it is produced on handlooms by skilled artisans and valued for its durability and elegance.",
Channapatna Toys,Non Food Products Wooden products,India,"Channapatna Toys are traditional wooden toys made in Karnataka using soft ivory wood and natural dyes. Crafted using a lathe-turning technique and finished with eco-friendly lacquer, these toys are known for their vibrant colors, smooth finish, and child-safe materials.",Karnataka
Channapatna Toys & Dolls,Non Food Products Wooden products / Lacquerware toys,India,"Channapatna Toys and Dolls are lacquered wooden artifacts produced in Karnataka using traditional techniques involving natural dyes and hand-turning on a lathe. These toys are distinguished by their glossy finish, bright colors, and safe, non-toxic materials.",Karnataka
Chendamangalam Dhoties & Set Mundu,Non Food Products Vegetal-based fibres and textile / Cotton sarees,India,"Chendamangalam Dhoties and Set Mundu are traditional handwoven cotton garments from Kerala produced using fine yarn on pit looms. Known for their simplicity, durability, and characteristic kasavu borders, these textiles are an integral part of Kerala’s cultural attire.",Kerala
Cheriyal Paintings,Non Food Products Others / Painting,India,"A traditional scroll painting art from Telangana dating back to at least the 17th century, influenced by Vijayanagara and South Indian styles. It depicts mythological and community narratives, produced in Cheriyal village using established artistic traditions.",Telangana
Chettinad Kottan,Non Food Products Vegetal-based fibres and textile / Craft,India,"A traditional basketry craft of Chettinad made from locally available palm leaves. Originally used in rituals, it is characterized by unique weaving styles and colors, and produced through manual techniques supporting rural women artisans.",
Chunar Balua Patthar,Non Food Products Extraction / Stone,India,"A historic sandstone associated with the Chunar region, used in forts, temples, and sculptures since ancient times. Linked to significant historical periods including Mauryan and Mughal eras, it continues to be used in stone carving and construction with both traditional and modern methods.",
Chunar Glaze Pottery,Non Food Products / Processed minerals / Pottery - handicraft,India,"Chunar Glaze Pottery is a traditional ceramic craft from Uttar Pradesh characterized by its distinctive glazed surface and earthy tones. Made using locally available clay and fired in kilns, the pottery includes decorative and utilitarian items with smooth finishes and durable quality.",Uttar Pradesh
Coimbatore Wet Grinder,Non Food Products Others / Grinder,India,"A mechanized kitchen appliance developed in Coimbatore in 1955, evolving from traditional grinding stones. Known for its specialized stone components, skilled manufacturing, and various types such as conventional, tilting, and tabletop models, it is widely used for preparing batter and supports a large local industry.",
Dhalapathar Parda & Fabrics,Non Food Products Vegetal-based fibres and textile / Cotton fabric,India,"A traditional handloom craft from Dhalapathar village practiced by the Rangani community for over a century. Originally known for sarees, it evolved into door curtains (parda) from 1936, using cotton yarn, natural dyes, and intricate weaving techniques depicting cultural and temple motifs.",
Dhaniakhali Saree,Non Food Products Vegetal-based fibres and textile / Sarees,India,"A traditional cotton saree from West Bengal woven on fly shuttle pit looms using fine cotton yarn. Known for its durable texture, contrast borders, and motifs created with dobby or jacquard techniques, it features characteristic color patterns and designs.",West Bengal
Dharmavaram Handloom Pattu Sarees and Paavadas,Non Food Products Vegetal-based fibres and textile / Silk sarees,India,"A traditional handloom silk textile from Andhra Pradesh with historical references to temple art. Made using pure silk and zari, it involves processes such as degumming, dyeing, twisting, and pit loom weaving, producing durable sarees known for rich colors, intricate designs, and ceremonial use.",Andhra Pradesh
Dindigul Locks,Non Food Products Metal / Locks,India,"A traditional handcrafted lock industry of Dindigul with over a century of history. Known for manual production, unique key codes, diverse shapes, and high durability, these locks are distinguished from machine-made alternatives and widely used for security purposes.",
Durgi Stone Carvings,Non Food Products Processed minerals / Stone carving product,India,"Durgi Stone Carvings are traditional sculptures produced in Andhra Pradesh using locally sourced limestone. Artisans create finely detailed idols, panels, and decorative pieces, reflecting religious themes and intricate craftsmanship passed down through generations.",Andhra Pradesh
East India Leather,Non Food Products Leather and leather based products / Vegetable tanned leather,India,"A traditional vegetable-tanned leather developed during the colonial period, using natural tannins such as myrobalan and avaram bark. Produced mainly in Tamil Nadu, it is known for its light beige color, durability, and distinctive fragrance, with processes involving soaking, liming, tanning, and finishing.",Tamil Nadu
Etikoppaka Toys,Non Food Products Wooden products / Toy,India,"Etikoppaka Toys are handcrafted wooden toys from Andhra Pradesh made using soft wood and natural dyes. Produced using traditional lathe techniques and finished with lacquer, these eco-friendly toys are known for their smooth texture, durability, and vibrant colors.",Andhra Pradesh
Farrukhabad Prints,Non Food Products Vegetal-based fibres and textile / Cotton print,India,"Farrukhabad Prints are traditional hand block printed textiles from Uttar Pradesh known for their intricate floral and geometric patterns. Printed on cotton fabrics using carved wooden blocks and natural dyes, the craft reflects a rich heritage of textile printing.",Uttar Pradesh
Firozabad Glass,Non Food Products Processed minerals / Craft,India,"A traditional glassware industry centered in Firozabad, known for handcrafted bangles and diverse glass products. Production involves specialized craftsmen performing distinct processes, using materials like silica and soda ash, with techniques including mouth blowing and manual finishing passed through generations.",
Gadwal Sarees,Non Food Products Vegetal-based fibres and textile / Sarees,India,"A traditional handloom saree from Andhra Pradesh known for its unique interlocking technique joining body, border, and pallu. Made using silk or cotton with zari work, it features intricate designs, vibrant colors, and is produced through skilled manual weaving rooted in a 200-year-old tradition.",Andhra Pradesh
Ganjam Kewda Flower,Non Food Products Others / Flower,India,"Pandanus odoratissimus (kewda/ketki) has been referenced in ancient Sanskrit texts and used for worship, ornamentation, and perfumery for over two millennia. Cultivated mainly in the Ganjam district of Odisha, its flowers are harvested early during the monsoon and immediately processed by hydrodistillation in local distilleries. The kewda perfume industry, established about 200 years ago, produces attar, water, and essential oil (rooh), primarily from male flowers rich in aromatic compounds. The plant also supports handicrafts from leaves and roots, has medicinal uses, and provides ecological benefits such as soil binding and coastal stabilization. Its high fragrance is influenced by the region’s sandy soil, climate, and traditional cultivation and processing methods.",Odisha
Ganjam Kewda Rooh,Non Food Products Other vegetal-based products / Essential oil,India,"Ganjam Kewda Rooh is a highly fragrant essential oil extracted from fresh kewda flowers through traditional hydro-distillation (Deg-Bhabka method). Production is concentrated in Odisha’s Ganjam district, especially during the peak season from July to September. Approximately 30–40 grams of oil are obtained from 1000 flowers, with yield varying by season, location, and flower quality. The oil’s distinctive fragrance is attributed to the region’s sandy soil, climate, and genetic characteristics of the plant. It contains multiple aromatic compounds, with quality assessed by gas chromatography, and is widely used in perfumery, flavoring, and related industries.",Odisha
Ganjifa cards of Mysore,Non Food Products Others / Craft cards,India,"Mysore Ganjifa cards are traditional hand-painted playing cards with origins linked to Persian influences and Mughal patronage, later flourishing under the Mysore rulers, especially Mummadi Krishnaraja Wodeyar. Historically used in royal courts, the craft incorporates themes from mythology, epics, and court life. Cards are made from materials such as handmade paper, cloth, ivory, or palm leaf, and painted using natural dyes derived from minerals, plants, and other sources. The production involves layering, sketching, painting, embossing, and varnishing, often with intricate iconography and fine detailing. Each deck is handmade and unique, reflecting skilled craftsmanship, cultural narratives, and regional artistic traditions.",
Jute wall hanging,Non Food Products Vegetal-based fibres and textile / Jute wall hanging,India,"Jute wall hangings have been produced for over 50 years in Ghazipur, Uttar Pradesh, by artisan communities including Muslim, Scheduled Caste, and OBC groups. The craft uses natural jute yarn and traditional Banaras weaving techniques such as Naka-Jala-Taka, without Jacquard or electricity. Designs include religious figures, landscapes, animals, and modern motifs, created with 10–20 colors through manual skill. The products are eco-friendly, entirely handmade, and dyed using traditional methods. The cluster involves thousands of artisans and contributes significantly to local income, though production methods and designs remain largely traditional with limited modernization.",Uttar Pradesh
Gopalpur Tussar Fabrics,Non Food Products Animal-based fibres and textile / Silk fabric,India,"Gopalpur Tussar Fabrics are handwoven silk textiles from Odisha made using tussar silk derived from wild silkworms. Known for their rich texture, natural sheen, and durability, these fabrics often feature traditional motifs and vibrant colors.",Odisha
Gorakhpur Terracotta,Non Food Products / Processed minerals,India,"Gorakhpur terracotta is a traditional clay art form with origins tracing back to the Indus Valley Civilization (2600–1700 BC), where pottery, figurines, and earthenware were widely produced. Archaeological findings from sites like Mohenjodaro and Harappa highlight its historical significance, including fertility-related figurines. The craft involves shaping and firing clay to create items such as pottery, sculptures, bowls, and decorative objects, reflecting a long-standing tradition of earthen artistry in India.",
Guledgudd Khana,Non Food Products Animal-based fibres and textile / Silk,India,"Guledgudd Khana is a traditional handwoven textile from Karnataka made using a blend of silk and cotton yarns. Characterized by small checkered patterns and contrasting borders, it is commonly used for garments and reflects the region’s distinctive weaving tradition.",Karnataka
Habaspuri Saree & Fabrics,Non Food Products Vegetal-based fibres and textile / Sarees,India,"Habaspuri sarees originate from the Kalahandi district of Odisha, traditionally woven by tribal and Scheduled Caste weavers. Initially produced in Habaspur village and now in surrounding areas, these sarees have a long-standing cultural significance and are used as ceremonial bridal attire. The weaving style reflects tribal traditions, featuring distinctive extra warp temple (Kumbha) motifs arranged longitudinally on borders and extra weft designs on the anchal. Fabrics are made from cotton or silk using Jalla technique on pit looms, with natural and synthetic dyes derived from local forest resources. The craft involves detailed processes such as degumming, dyeing, warping, and weaving, resulting in textiles that embody regional identity, traditional motifs, and skilled craftsmanship.",Odisha
Hadagali Malligae,Non Food Products Others / Jasmine flower,India,"Hadagali Mallige is a jasmine variety cultivated in Karnataka for 300–400 years, with documented use since the Vijayanagara Empire. Known for its strong fragrance and mild volatile oil content, it is primarily used for decorative purposes and making garlands, especially for marriages. Its unique characteristics arise from the genetic traits of the plant and the specific geographical conditions of the Hadagali region, particularly sandy red soil and dry climate. The crop is propagated through stem cuttings, grown with locally prepared organic manure, and begins flowering after one year, with peak yield from the second year. The flower contributes significantly to the local economy, supporting thousands of workers and generating substantial annual turnover, and is mainly cultivated in and around Hoovina Hadagali in Bellary district.",Karnataka
Hand made Carpet of Bhadohi,Non Food Products Vegetal-based fibres and textile / Carpet,India,"Handmade carpets from Bhadohi, India, produced using traditional weaving techniques with vegetal-based fibres.",
Hmaram,Non Food Products Vegetal-based fibres and textile / Cloth,India,"Hmaram is a traditional handwoven cloth of the Hmar tribe in Mizoram, historically referenced in texts from the early 20th century and earlier. It is a skirt or sarong worn by women, especially during festivals and dances, and valued as a cultural garment. Traditionally made from handspun cotton dyed with natural substances like soot and plant-based dyes, it features intricate motifs such as Kawkpui zikzial and Lenbuangthuam. The cloth is woven on a loin loom using warp-faced plain weave with supplementary yarns for designs. Production involves starching yarn with rice water, natural dyeing, and skilled manual weaving. High-quality pieces require experienced weavers to produce clear and complete motifs.",Mizoram
Idu Mishmi Textiles,Non Food Products / Vegetal-based fibres and textile,India,"Idu Mishmi textiles originate from the Idu Mishmi tribe of Arunachal Pradesh and are traditionally woven for daily use and special occasions. The textiles use natural colours such as black, red, and white, with patterns inspired by nature, featuring geometric motifs like diamonds and triangles. Yarn is traditionally extracted from wild nettle plants, processed with ash and water, and dyed using plant materials. Cotton and wool are also used, often sourced through trade. Weaving is done on local looms, producing durable, moisture-absorbing fabrics. The craft involves specialized terminology and tools, and knowledge of traditional dyeing is now limited to certain regions.",Arunachal Pradesh
Ilkal Sarees,Non Food Products Vegetal-based fibres and textile / Sarees,India,"Ilkal Sarees are traditional handwoven sarees from Karnataka known for their distinctive weaving technique where the body and pallu are woven separately and joined together. Made using cotton and silk yarns, these sarees feature characteristic borders and geometric patterns reflecting regional craftsmanship.",Karnataka
Jamnagari Bandhani,Non Food Products Animal-based fibres and textile / Tie dye,India,"Jamnagari Bandhani is an ancient tie-dye textile tradition from Gujarat, particularly Kachchh and Jamnagar, with origins possibly linked to Sindh. Historical evidence dates back to ancient India, including references in Ajanta cave paintings (6th century AD) and classical texts like Harshacharita. The technique involves resist dyeing by tying fabric to create intricate patterns, often using bright colours and dotted designs. Traditionally used for ceremonial and daily wear by various communities, the craft is known for its unique patterns created through skilled manual tying and dyeing processes.",Gujarat
Kachchh Shawls,Non Food Products Animal-based fibres and textile / Wool shawl,India,"Kachchh shawls are traditional handwoven wool textiles from Gujarat, rooted in India’s ancient handloom heritage. They feature distinctive motifs such as Chaumukh, Dholki, and Wankia, created using extra weft techniques. Shawls, stoles, and dhabdas are produced in standard sizes with colourful borders and patterns on natural or dyed wool. Value additions include tie-dye and embroidery by artisans across villages. Production involves handloom weaving, yarn preparation, and finishing with tassels, washing, and ironing. These textiles are sold in local and international markets and reflect both cultural significance and skilled craftsmanship.",Gujarat
Kancheepuram Silk,Non Food Products Animal-based fibres and textile / Silk,India,"Kancheepuram silk sarees originate from Tamil Nadu and have historical roots dating back to the Mauryan period. They are known for their heavy weight and unique weaving technique using multiple ply yarns, including zari warp and twisted silk threads. The silk’s lustre is enhanced by the local water quality. Typically, two-ply yarn is used for the body and weft, and three-ply for borders, creating durable and richly textured sarees.",Tamil Nadu
Kangra Paintings,Non Food Products Others / Painting,India,"Kangra paintings are a classical art form from the Himalayan foothills, विकसित in the 18th century under royal patronage, especially Maharaja Sansar Chand. Originating from the Guler style, they are known for delicate, naturalistic, and lyrical depictions, often portraying themes from Krishna’s life. The paintings use natural pigments derived from minerals, plants, and organic sources, such as indigo, cinnabar, and malachite. Materials include handmade paper, natural gums as binders, and fine brushes made from animal hair. The technique emphasizes precise drawing, soft shading, and harmonious colour blending.",
Kani Shawl,Non Food Products Animal-based fibres and textile / Shawl,India,"Kani shawls are traditional woven textiles from Kashmir, known for intricate patterns created using a twill tapestry technique. The weaving involves interlocking weft yarns inserted with wooden spokes (kanis) without a shuttle, producing fine, lightweight, and durable shawls. Each shawl is made based on a detailed pattern script called ‘Talim,’ guiding skilled artisans. Designs feature motifs inspired by Kashmir’s flora, including paisley, floral, and chinar leaf patterns. The craft is practiced in regions like Srinagar and Budgam and involves multiple stages including dyeing, weaving, and finishing.",
Kannauj Perfume,Non Food Products Other vegetal-based products / Perfume,India,"Kannauj Perfume, also known as attar, is a traditional natural fragrance produced in Uttar Pradesh using hydro-distillation techniques. Made from flowers, herbs, and spices, these alcohol-free perfumes are valued for their long-lasting aroma and heritage linked to ancient perfumery practices.",Uttar Pradesh
Kanpur Saddlery,Non Food Products Leather and leather based products / Saddlery,India,"Kanpur Saddlery refers to high-quality leather goods produced in Kanpur, Uttar Pradesh, including saddles, harnesses, and equestrian equipment. Known for durability and fine craftsmanship, these products are made using traditional tanning and stitching methods.",Uttar Pradesh
Karnataka Bronzeware,Non Food Products Metal / Craft,India,"Karnataka Bronzeware is a traditional metal craft involving the casting of bronze into idols, utensils, and decorative items. Produced using the lost-wax casting technique, these artifacts are known for their intricate detailing, durability, and cultural significance.",Karnataka
Karvath Kati Sarees & Fabrics,Non Food Products Animal-based fibres and textile / Silk,India,"Karvath Kati Sarees and Fabrics are traditional silk textiles from Maharashtra characterized by distinctive serrated or zigzag border patterns. Woven using fine silk yarns, these sarees reflect a unique regional weaving style and vibrant color combinations.",Maharashtra
Kasaragod Sarees,Non Food Products Vegetal-based fibres and textile / Cotton sarees,India,"Kasaragod sarees are traditional cotton sarees produced using handloom weaving techniques, involving preparation of yarn and weaving on looms.",
Kashmir Paper Machie,Non Food Products Other vegetal-based products / Paper mache craft,India,Kashmir papier-mache is a traditional craft involving molded paper pulp shaped into decorative objects and finished with intricate hand-painted designs.,
